cell id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
601506507,0.0,0.0,0.0,0.0,0.0,0.0,0.56831228,3.31802526,8.35246843,5.13203215,1.44661309,0.70034443,0.48220436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601790961,0.0,0.0,0.0,0.0,0.0,0.03481754,0.60528959,1.6324071,1.93639103,2.21493137,4.14194844,4.83026448,3.08670907,1.33110144,0.18613994,0.0,0.0,0.0,0.0,0.0
601803754,0.00322268772,8.98614244,10.617467,0.390589752,0.00257815018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601808698,0.0,0.0,0.0,0.25554207,0.48680764,0.4689197,0.88417556,3.57758896,10.43633808,3.72835878,0.1482144,0.01405481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601810307,0.0,0.0,1.42387289,5.33016242,9.79709558,2.81131407,0.63755503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601811091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09506399,0.46215722,0.83802559,1.69652651,1.85009141,2.49506399,4.55722121,3.10201097,2.66764168,1.10420475,0.82925046,0.30274223
602231708,0.0,0.0,0.0,0.0,0.0,0.03008563,0.89562601,1.00439713,0.83776903,1.55982411,3.7653321,8.81740338,3.00856283,0.08099977,0.0,0.0,0.0,0.0,0.0,0.0
602535278,0.0,0.0,0.0,0.05077279,2.4624804,3.46449638,6.63630255,6.03598895,1.24692003,0.1030389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604646725,0.0,0.0,0.0,0.08459411,0.80364405,0.3969416,1.92614283,3.58548886,5.21880592,3.15601106,1.55848381,1.28192614,1.98796161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605060256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38890206,6.62082049,6.93858193,5.72444866,0.32724686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605160536,0.0,0.0,0.83263598,1.93305439,1.78242678,2.86610879,4.20502092,4.13389121,4.16736402,0.07949791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606098116,0.0,0.0,0.0,1.25181733,9.11761417,5.49263747,2.22851817,0.72096925,0.57409133,0.53830382,0.07604846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606271263,0.0,0.0,0.24176955,9.62242798,8.62962963,1.41769547,0.08847737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606308411,0.0,0.0,0.0,2.72989741,12.73419743,4.41304748,0.12285767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614728680,0.0,0.0,0.0,0.0,0.0,0.0,0.00755287,0.20675982,1.03096677,3.47337613,2.85215257,2.98149547,3.78870846,4.5364426,1.07817221,0.04437311,0.0,0.0,0.0,0.0
623326230,0.0,0.0,0.14999167,5.34192545,9.66946281,3.82756514,0.92550414,0.0855508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
