,AP Fano factor,AP amplitude (mV),AP amplitude adaptation index,AP amplitude average adaptation index,AP coefficient of variation,AP threshold (mV),AP width (ms),Afterdepolarization (mV),Afterhyperpolarization (mV),Burstiness,ISI Fano factor,ISI adaptation index,ISI average adaptation index,ISI coefficient of variation,Input resistance (MOhm),Latency (ms),Max number of APs,Membrane time constant (ms),Rebound number of APs,Resting membrane potential (mV),Rheobase (pA),Sag ratio,Spike frequency adaptation,Upstroke-to-downstroke ratio
637846989,8.247360222948107,19.906248092651282,3.1193098484977098,2.0604097849982463,0.41424215993662256,-44.125,,0.0,13.927082697550397,0.0,0.0760422405876952,11.167597765363151,11.167597765363151,0.8356290174471995,,197.70000000000002,3,,0,-82.2531741358439,230.0,,,4.861655263971787
639004612,0.21791636567354156,69.77083524068192,0.8842938131011187,0.9902512884182205,0.06273395012512437,-42.270833333333286,0.5666666666666598,0.0,-8.697916666666693,0.0,0.000608058420263968,1.052264808362371,1.0345012242620049,0.1894275601772354,,20.76666666666667,28,,0,-75.62268445841471,90.0,,0.75,3.2710486796601828
639013022,0.31873692009528937,92.23958460489902,0.8456239502969954,0.982621630761018,0.06495750146409943,-40.552084604899015,0.5333333333333301,0.0,-1.5729192097982931,0.0,0.00665113892025808,0.9942363112391938,1.162733868195147,0.47053358955807956,,24.933333333333334,14,,0,-75.25819873640273,90.0,,0.4,3.730517662845901
639674270,0.46903323736819613,70.20833524068175,0.8682492617395057,0.978974775544802,0.09304467707464083,-47.37500127156576,0.6999999999999923,0.0,-1.718752543131508,0.0,0.0022588015457673132,1.3454987834549872,1.0939473173453098,0.2807255906475031,,4.433333333333331,17,,0,-61.77777365578546,130.0,,0.5454545454545454,4.020188556377832
639708328,0.012633398287164989,64.07291920979802,0.9949601593554322,0.9971157342777845,0.014262965506782556,-36.718751271565736,0.5333333333333301,0.0,-15.96875254313153,0.0,0.0003444884184954564,1.155202821869489,1.0319817519866763,0.1132886858958621,,15.366666666666667,18,,0,-68.73503794521756,150.0,,0.8,2.2971009556785047
639797308,0.02987166906401041,43.69791920979814,1.1232419475355504,1.0016666864690442,0.025030340724973805,-28.32291857401526,0.26666666666667893,0.0,-21.083335240682004,0.0,0.00016242296818748915,1.071823204419892,1.0130496243168003,0.10877103544890623,,21.566666666666663,35,,0,-71.00980458407932,300.0,,0.8421052631578947,1.4133092850897282
639809582,0.17444736869739785,79.09375381469694,0.965494584333891,0.9883885076877998,0.04983392982911206,-41.687503814697266,0.5333333333333301,0.0,-14.906250000000021,0.0,0.0013391271181141752,1.1988742964352728,1.0685200593657314,0.20588677548223114,,22.599999999999994,16,,0,-74.5959828245375,180.0,,0.7777777777777778,2.5957328552674035
639841063,0.7102318744356931,74.59375381469735,0.9338081563113608,0.963106879956939,0.10723104699343464,-41.70833587646477,0.4666666666666569,0.0,-11.312498728434328,0.0,0.03500445496593537,1.224789915966389,1.4373993175007518,0.8874961773580197,,16.233333333333334,9,,0,-70.0889513092041,200.0,,0.125,2.163247881504427
639862877,0.4718604965060065,62.552089055379206,0.9537051787151397,0.9591458848383214,0.09318757608311842,-40.73958714803057,0.4666666666666708,0.0,-12.197916666666693,0.0,0.02217783224104229,1.161554192229038,1.434432308037497,0.7693242493003556,,16.633333333333333,8,,0,-68.04456241522895,210.0,,0.14285714285714285,2.1946797830093434
639881631,0.19419693088363374,53.541666666666586,0.9581712062256796,0.9873855532505965,0.0642061663296956,-41.29166666666665,0.5666666666666736,0.0,-8.739587148030616,0.0,0.008299466129619744,1.630331753554507,1.2541223276173008,0.4772644316351054,,24.066666666666666,13,,0,-67.21313454352484,70.0,,0.4444444444444444,2.1540186946264117
