cell id,normalized depth,axon branch points,axon width,axon height,axon robust width,axon robust height,axon x-bias,axon z-bias,axon tips,axon total length,axon max path distance to soma,axon max branch order,axon max path angle,axon median path angle,axon max segment length,axon log max tortuosity,axon log min tortuosity,axon log median tortuosity,axon max branch angle,axon min branch angle,axon mean branch angle,axon above soma,soma radius,mean initial segment radius,axon mean neurite radius,axon max Euclidean dist,axon first bifurcation moment,axon bifurcation standard deviation,dendrite branch points,dendrite width,dendrite height,dendrite robust width,dendrite robust height,dendrite x-bias,dendrite z-bias,dendrite tips,dendrite total length,dendrite max path distance to soma,dendrite max branch order,dendrite max path angle,dendrite median path angle,dendrite max segment length,dendrite log max tortuosity,dendrite log min tortuosity,dendrite log median tortuosity,dendrite max branch angle,dendrite min branch angle,dendrite mean branch angle,dendrite above soma,dendrite mean neurite radius,dendrite max Euclidean dist,dendrite first bifurcation moment,dendrite bifurcation standard deviation,stems,stems exiting up,stems exiting down,stems exiting to the sides,Log1p fraction of axon above dendrite,Log1p fraction of axon below dendrite,Log1p fraction of dendrite above axon,Log1p fraction of dendrite below axon,EMD axon dendrite
20180213_sample_5,0.7536304215218957,97,911.17,548.47,537.5227499999999,339.0117499999998,192.18999999999997,-88.30999999999997,101,15373.05043630918,888.7942895803259,20,66.89211640151333,6.892376060733437,391.086950043311,1.3879944357876046,0.0104621379574987,0.2644152348665302,158.5510024919726,5.308421496474506,71.24095457951707,0.7169204251651824,12.255736823373471,0.44,0.1134343434343434,564.5532524926235,38.22958762886598,74.24904048000273,11,244.6,492.1,196.36,399.2174999999998,8.5,-115.72000000000004,18,3001.949711784116,437.94685880419,3,56.528882154273134,5.715703255568214,269.06338438999023,0.5689834048895,0.0476225065706991,0.2172993623890119,153.953632385016,9.197618264406486,61.454017082145405,0.4895041070885306,0.7337499999999998,316.44543005074354,-1.446363636363634,48.40328543934093,7,0.2857142857142857,0.2857142857142857,0.4285714285714285,0.0,0.0,0.0,0.0,0.2999999999999995
20180215_sample_1,0.541712000678244,183,479.73,696.9,286.9004999999999,510.0279999999999,29.97,233.78,187,24252.06162464501,1325.7752807290335,18,75.81791885815942,7.853757107443281,297.0461070341704,1.2806830235768194,0.0026354049965431,0.2835770152462151,156.0741383655142,2.976636793090545,72.13149991909805,0.7164596942071639,16.70950360793577,0.37,0.0854189189189189,466.2548498407282,89.7230054644808,117.24574425839472,15,384.17,523.76,314.3974999999999,404.6112499999996,67.39000000000001,51.32000000000002,31,5018.5054411289,419.9106724382479,4,60.970812310482415,6.979411505040678,384.7022713735041,0.520047608551451,0.0468803076037807,0.2089008488345912,128.97691350397113,14.000797349249336,64.09021364655375,0.5294853466761973,0.5663358381686219,327.85833724338937,24.66066666666667,86.40510628943692,17,0.2352941176470588,0.3529411764705882,0.4117647058823529,0.0,0.0,0.0,0.0,0.1703296703296706
20180306_sample_1,0.255271406595186,125,670.28,608.1600000000001,500.5825,337.86249999999995,120.51999999999998,-99.92000000000002,133,12942.18844683614,948.879930035744,23,74.7181155613414,8.313741574266617,218.6863531373481,1.3408441400897884,0.0127206247056206,0.1605410204636366,154.40877391797395,7.293228171500159,66.71812208523372,0.6796248470844094,9.560878469949012,0.55,0.0865503875968992,412.1078761683644,45.532640000000015,67.45571374635658,15,377.86,264.89,331.9390000000001,213.66475000000003,21.139999999999983,16.25,20,3010.807558708111,272.6344241767991,5,60.77930303319389,7.45008957966863,272.6344241767992,0.3311722433394062,0.0196034556406704,0.1108957705734734,110.10543617907294,8.485867312449669,57.73695489069702,0.5106192043075082,0.4016176470588236,221.35666626510255,5.316666666666666,23.84561613565246,6,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.0,0.0273989741881145,0.0,0.0,0.5405982905982902
20180327_sample_1,0.4238312639558533,161,357.0,657.9000000000001,236.54400000000004,494.7880000000001,53.60000000000002,156.42000000000002,164,13812.813970652487,720.3755646847508,22,73.14296060931346,9.132129966910732,272.4069377905967,1.1336246815138329,0.0009188878610879,0.1792702774490088,160.09930714450502,11.215896590538884,78.01707694648582,0.6635176605090559,7.69695689461795,0.22,0.0580645355261069,446.2531250310747,68.96000000000002,111.13630264327398,2,192.81,85.37,181.72875,81.5975,156.08999999999995,-38.77,5,489.5873290322422,230.82534434133163,2,67.51693221410177,9.98969701115551,230.8253443413317,0.876862345108515,0.1607393975472468,0.4148086109542879,28.1699848959804,28.1699848959804,28.1699848959804,0.3559027777777778,0.4958333333333334,187.29690066843077,-1.07,1.07,4,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.2380952380952382
20180327_sample_4,0.5162187337333224,121,598.11,719.13,413.6172499999995,554.9994999999999,253.03,261.17,125,13908.51025071104,749.7933736855633,17,72.01362748585336,10.209798759137335,412.91718472336606,0.9823999018412825,0.0211325006816192,0.2315632607200388,160.13186277432226,14.820779450462537,73.36118490701823,0.8425254433542568,10.181503212727298,0.515,0.0642682926829268,490.64982166510566,87.63933884297519,108.60886028218084,1,126.78,67.46,115.0305,63.17899999999999,57.7,-3.6999999999999993,4,317.8348308532393,129.28595864700554,1,46.70903673155009,7.131051220869281,129.2859586470055,0.4067886568016947,0.1032690686272502,0.2584930890939972,,,,0.48,0.5875,97.677809660127,0.0,0.0,4,0.0,0.0,1.0,0.0,0.074107972153722,0.0,0.0,0.2792022792022787
20180327_sample_5,0.5771047901131148,160,1035.47,331.89,692.69,221.386,225.73,210.85,170,19992.57364897622,1116.8342809457424,27,72.77391741522169,6.706597413448564,409.73408209103087,1.4151049568925478,0.0082866893563749,0.2001495973475581,175.29255011561293,1.5930693010162682,78.54394872142534,0.9288841240060752,8.73457885585375,0.37,0.0631985053541786,645.4148713811916,108.35618750000005,53.824657951443065,4,175.74,159.95999999999998,141.34499999999997,132.54199999999997,55.8,-2.140000000000001,9,708.0333045682164,142.9521739929564,3,61.7137103113008,6.883912313718424,133.4100765089697,0.4243260324388,0.0289993090815968,0.2390319308137623,81.49850205828797,23.549552169249807,47.74609717654662,0.3684210526315789,0.3167926466900351,126.94025169346403,-1.1500000000000004,9.194419503155162,6,0.3333333333333333,0.1666666666666666,0.5,0.0953101798043249,0.048790164169432,0.0,0.0,1.1
20180404_sample_2,0.2458408875813863,263,575.5699999999999,639.2,387.23124999999993,320.33974999999987,84.17000000000002,-247.44,272,33150.340759823855,963.1293420983532,25,67.39794940332234,7.548909243662134,532.5291061048503,1.021684059513353,0.0029971913105954,0.2079233316642833,167.91783500258094,2.3004687341701917,63.87350103902904,0.3279970016597954,9.250462264302811,0.295,0.0579813084112149,449.16878753982894,-7.612167300380229,60.16947365518157,1,123.04,191.54,105.91275,177.50949999999995,14.099999999999994,-191.54,3,455.0406207155481,238.59060615196685,1,51.87613652136746,6.135341181369851,238.59060615196705,0.2779022836292425,0.1989142924760575,0.2642053471679214,,,,0.0,0.405,195.55366552432608,0.0,0.0,3,0.6666666666666666,0.0,0.3333333333333333,0.1528020619559646,0.0,0.0,0.0,1.2924528301886795
20180404_sample_5,0.6794867993892586,146,736.91,569.34,513.432,333.982,33.370000000000005,-75.16,152,18019.786422616224,966.0829829968532,19,70.24547605342917,8.80536296054656,281.7671048951541,1.1681535509396672,0.026418608134525,0.2072367941641726,166.92239565146724,2.9952145515315918,71.7172454975217,0.4770321452850344,11.064708559234948,0.295,0.0557550335570469,402.2817179539732,-11.684383561643836,71.34036208890565,6,194.57,354.74,164.96774999999997,314.7085,46.47,0.9000000000000057,11,1334.446025570339,212.83037444983304,3,55.019465179464206,6.57882989311704,161.73767449572838,0.5883987416184582,0.0614541297936148,0.1698495608161497,123.8118788725076,8.145831261093772,65.58919666940378,0.5157103825136612,0.52125,187.04612639667252,-19.28,45.74068028935877,6,0.1666666666666666,0.3333333333333333,0.5,0.0224728558520585,0.0,0.0,0.0,0.6212121212121209
20180410_sample_9,0.146073711825985,181,456.25,450.01,324.7019999999999,296.0949999999999,6.689999999999998,-167.47,186,18868.456861703824,821.4212696205486,25,71.29420263731804,8.613617982906954,359.0587112456274,0.9006141064990155,0.0083726798921628,0.166177159975914,176.35501665927973,1.6363684337541742,70.24316505978032,0.3269345854624131,8.546545175256556,0.22,0.0572990794458706,330.558249934864,-27.577955801104977,65.19865375621151,1,28.03,81.28999999999999,26.337,75.29849999999999,28.03,-14.85,2,138.33732982826584,81.12643200977918,1,56.0855332865312,8.629314462333195,81.12643200977921,0.4326197542960391,0.3365958002537077,0.3860009616526093,,,,0.4110429447852761,0.425,57.94029168031518,0.0,0.0,2,0.5,0.5,0.0,0.0,0.0695260626486103,0.0,0.0,1.2479999999999998
20180411_sample_4,0.2659340711548831,230,616.05,515.46,412.21875,273.91600000000005,43.22999999999996,-46.12000000000003,236,19744.613376085243,659.1763064906465,18,64.03975010052307,8.157148319460871,296.29301412916806,1.255613615643943,0.0,0.1401341334549151,167.29829610751855,2.591152875655622,78.00841836252418,0.7552785550750445,12.876579199488372,0.44,0.049763948497854,336.0412660671305,46.36678260869568,51.2376196634741,29,290.22,457.02,225.97549999999995,351.41849999999994,99.22,-62.63999999999999,35,3396.0474498375534,295.7704379042784,7,54.141612205847366,6.185388914645241,262.7749645431794,0.7304844151646893,0.0089773784087506,0.1007137563391049,165.1152175449925,17.10859385299855,79.2981645281431,0.3646567475854868,0.3035746393000939,263.9302225968068,-13.237586206896554,52.05906457590676,6,0.1666666666666666,0.3333333333333333,0.5,0.0,0.0637158143861077,0.0,0.0,0.3201754385964901
