cell id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20180725_sample_9,1.73913043,1.73913043,1.73913043,0.0,1.73913043,0.0,3.47826087,1.73913043,0.0,0.86956522,0.0,0.86956522,0.86956522,1.73913043,0.86956522,0.0,1.73913043,0.0,0.0,0.86956522
20180817_sample_2,1.39534884,0.93023256,1.39534884,0.93023256,0.46511628,0.0,0.46511628,1.39534884,0.46511628,0.46511628,0.93023256,1.39534884,0.93023256,0.93023256,1.39534884,0.0,1.86046512,1.39534884,1.86046512,1.39534884
20180817_sample_3,1.58730159,0.95238095,0.95238095,0.63492063,0.95238095,0.63492063,0.95238095,0.95238095,0.63492063,1.58730159,0.31746032,1.26984127,0.31746032,1.58730159,0.95238095,1.9047619,1.26984127,0.63492063,0.63492063,1.26984127
20180817_sample_4,0.43478261,1.08695652,0.86956522,1.30434783,1.30434783,1.08695652,0.86956522,0.43478261,0.86956522,1.95652174,1.52173913,1.52173913,0.43478261,1.52173913,1.30434783,0.43478261,0.43478261,0.2173913,1.73913043,0.65217391
20180820_sample_1,0.33898305,0.6779661,0.6779661,0.6779661,0.33898305,2.03389831,1.69491525,1.3559322,0.6779661,0.6779661,0.0,1.01694915,0.6779661,0.33898305,1.01694915,1.69491525,1.69491525,0.6779661,1.3559322,2.37288136
20180820_sample_4,0.0,1.6,0.8,2.4,1.6,1.2,0.8,0.4,0.8,0.0,0.8,1.2,1.2,0.4,0.0,2.0,2.0,0.4,2.0,0.4
20180820_sample_5,0.0,1.17647059,1.17647059,2.35294118,0.0,2.35294118,0.0,2.35294118,0.0,0.0,0.0,1.17647059,2.35294118,2.35294118,1.17647059,2.35294118,0.0,0.0,1.17647059,0.0
20180820_sample_7,1.9047619,0.0,0.0,2.85714286,0.0,4.76190476,0.0,0.0,0.95238095,2.85714286,0.95238095,0.0,0.0,0.95238095,0.95238095,0.0,2.85714286,0.0,0.0,0.95238095
20180822_sample_1,0.84745763,1.69491525,1.18644068,1.01694915,1.18644068,0.84745763,1.3559322,0.50847458,1.18644068,1.69491525,0.50847458,1.01694915,1.18644068,1.01694915,1.01694915,1.86440678,0.6779661,0.16949153,0.84745763,0.16949153
20180822_sample_2,0.0,1.30434783,0.43478261,0.86956522,0.86956522,0.43478261,0.0,1.30434783,2.60869565,3.47826087,0.86956522,0.0,1.30434783,1.73913043,0.86956522,1.30434783,0.43478261,0.86956522,0.86956522,0.43478261
20180822_sample_3,1.35135135,0.81081081,0.94594595,0.94594595,0.67567568,0.40540541,0.94594595,0.67567568,1.48648649,0.81081081,1.35135135,1.08108108,0.54054054,1.48648649,1.21621622,0.81081081,0.94594595,1.21621622,1.21621622,1.08108108
20180822_sample_4,1.66666667,0.0,1.66666667,1.66666667,3.33333333,0.0,0.0,0.0,1.66666667,1.66666667,0.0,0.0,1.66666667,1.66666667,1.66666667,3.33333333,0.0,0.0,0.0,0.0
20180822_sample_6,1.48148148,0.0,0.74074074,0.98765432,2.22222222,0.98765432,0.98765432,1.2345679,0.98765432,0.98765432,0.98765432,1.48148148,1.2345679,0.0,0.98765432,0.98765432,0.74074074,0.98765432,1.2345679,0.74074074
20180822_sample_7,0.87912088,0.65934066,0.87912088,1.0989011,1.53846154,1.75824176,1.31868132,0.65934066,0.87912088,0.43956044,1.0989011,1.75824176,0.65934066,0.87912088,1.0989011,1.31868132,0.65934066,0.87912088,1.0989011,0.43956044
20180828_sample_2,1.30909091,1.01818182,1.09090909,0.43636364,1.01818182,1.30909091,1.16363636,0.8,0.87272727,1.23636364,1.23636364,1.16363636,0.8,0.72727273,1.38181818,0.65454545,1.67272727,0.36363636,1.01818182,0.72727273
20180828_sample_3,2.22222222,1.66666667,0.0,1.11111111,1.11111111,0.55555556,1.66666667,1.11111111,1.11111111,1.66666667,0.0,1.11111111,0.55555556,0.0,1.11111111,0.55555556,0.0,0.55555556,1.66666667,2.22222222
20180828_sample_5,0.80645161,0.80645161,0.64516129,1.29032258,1.4516129,1.29032258,0.64516129,1.29032258,2.09677419,0.64516129,0.80645161,0.32258065,0.48387097,1.12903226,0.96774194,0.96774194,1.29032258,1.61290323,0.80645161,0.64516129
20180828_sample_6,0.54054054,0.54054054,1.08108108,0.54054054,1.08108108,1.08108108,2.16216216,0.0,1.62162162,0.0,1.62162162,0.0,1.08108108,1.08108108,1.62162162,1.08108108,1.08108108,2.16216216,1.08108108,0.54054054
20180829_sample_2,2.22222222,0.0,0.0,2.22222222,0.0,2.22222222,4.44444444,0.0,0.0,2.22222222,0.0,0.0,0.0,2.22222222,0.0,0.0,4.44444444,0.0,0.0,0.0
20180829_sample_6,1.66666667,3.33333333,1.66666667,0.0,0.0,1.66666667,3.33333333,1.66666667,0.0,1.66666667,1.66666667,0.0,0.0,0.0,1.66666667,0.0,0.0,0.0,1.66666667,0.0
20180829_sample_7,1.37931034,0.68965517,0.34482759,1.37931034,1.37931034,0.68965517,1.03448276,0.34482759,1.72413793,1.03448276,1.37931034,0.0,0.68965517,0.68965517,1.37931034,0.34482759,0.68965517,1.72413793,1.37931034,1.72413793
20180830_sample_1,0.33149171,0.66298343,1.10497238,0.99447514,1.43646409,0.99447514,2.54143646,0.77348066,1.21546961,1.32596685,1.10497238,0.33149171,0.66298343,0.11049724,1.65745856,0.8839779,1.21546961,0.8839779,0.8839779,0.8839779
20180904_sample_2,1.12149533,0.93457944,0.93457944,1.30841121,0.93457944,0.74766355,0.74766355,1.4953271,0.74766355,0.93457944,0.74766355,1.4953271,1.12149533,0.56074766,0.93457944,0.74766355,1.12149533,1.4953271,0.93457944,0.93457944
20180904_sample_3,1.35338346,1.35338346,0.15037594,1.05263158,0.90225564,1.20300752,1.05263158,1.05263158,0.90225564,1.05263158,1.5037594,0.60150376,1.05263158,1.05263158,1.35338346,1.20300752,1.05263158,0.45112782,1.05263158,0.60150376
20180904_sample_4,1.05263158,1.40350877,2.10526316,0.70175439,1.05263158,1.05263158,0.0,1.05263158,1.05263158,0.35087719,2.10526316,0.70175439,1.05263158,1.40350877,1.40350877,1.05263158,0.35087719,0.35087719,1.75438596,0.0
20180904_sample_5,0.0,2.5,0.83333333,1.25,0.41666667,0.41666667,0.83333333,1.25,1.66666667,1.66666667,0.83333333,1.25,1.25,0.41666667,0.83333333,1.25,0.41666667,1.66666667,0.41666667,0.83333333
20180904_sample_7,0.8,1.6,0.32,1.12,1.28,2.08,0.96,0.48,1.12,0.96,0.96,0.96,0.96,0.8,1.12,0.64,1.44,0.8,0.8,0.8
