specimen_id,met_type
731733715,Sst-MET-6
731765828,Sst-MET-9
731882356,Lamp5-MET-1
731917470,Lamp5-MET-1
736884821,Vip-MET-5
738041476,Vip-MET-1
738401019,Vip-MET-5
738859085,Vip-MET-5
739547189,Vip-MET-1
739558698,Sst-MET-4
739570508,Vip-MET-4
739810705,Lamp5-MET-1
740094065,Sst-MET-12
740110275,Sst-MET-13
740134630,Sst-MET-5
740135032,Sst-MET-4
740155221,Sst-MET-4
740164794,Pvalb-MET-4
740380531,Sst-MET-3
740649731,Sst-MET-12
740660643,Sst-MET-9
740675145,Sst-MET-13
740695122,Sst-MET-6
740732467,Sst-MET-9
740780456,Sst-MET-8
740819727,Sst-MET-12
740872967,Sst-MET-2
740875222,Sst-MET-1
741785767,Sst-MET-12
741788179,Sst-MET-2
741796557,Sst-MET-6
741940660,Sst-MET-12
742009621,Sst-MET-12
742033571,Vip-MET-5
742784488,Vip-MET-2
743001170,Sncg-MET-1
743012953,Sst-MET-10
743041228,Sst-MET-13
743049614,Sst-MET-13
743458377,Sncg-MET-1
743468218,Vip-MET-5
743504177,Vip-MET-5
744053590,Vip-MET-4
744211669,Vip-MET-3
744454952,Pvalb-MET-4
744476851,Sst-MET-12
744975652,Vip-MET-1
745584401,Sst-MET-11
745692039,Sst-MET-4
745736817,Sst-MET-3
746086313,Lamp5-MET-1
746200101,Sst-MET-2
746257405,Sst-MET-2
746732672,Sst-MET-6
746747868,Sst-MET-9
746917764,Sst-MET-10
746924803,Sst-MET-8
747028632,Sst-MET-6
750472605,Sst-MET-6
750706642,Sst-MET-13
750776506,Sst-MET-11
750824726,Sst-MET-13
750833190,Sst-MET-12
751199266,Sst-MET-5
751947558,Sst-MET-12
751991773,Sst-MET-10
752027250,Sst-MET-8
752042986,Sst-MET-7
752063316,Sst-MET-3
754508194,Pvalb-MET-2
755552030,Vip-MET-1
755592855,Vip-MET-1
755625739,Pvalb-MET-3
755625849,Vip-MET-1
757252810,Sncg-MET-1
758263126,Vip-MET-4
759751429,Vip-MET-5
759909292,Sst-MET-7
759939473,Sst-MET-9
759948010,Sst-MET-10
759955697,Sst-MET-7
759970262,Sst-MET-3
760011270,Sst-MET-6
760064682,Pvalb-MET-2
760268259,Sst-MET-8
760280955,Sst-MET-2
760294832,Sst-MET-6
760316107,Sncg-MET-1
760416458,Sst-MET-6
760437219,Vip-MET-5
760821319,Sst-MET-10
760832993,Sst-MET-12
760834631,Sst-MET-3
760890074,Vip-MET-1
760961855,Sst-MET-3
761297232,Vip-MET-2
761304075,Vip-MET-1
761344650,Vip-MET-4
761409397,Pvalb-MET-4
761429710,Pvalb-MET-4
761820827,Vip-MET-4
761822060,Vip-MET-5
762590075,Pvalb-MET-4
762757594,Pvalb-MET-4
763378303,Pvalb-MET-3
763912380,Sncg-MET-1
763952780,Vip-MET-5
764341238,Lamp5-MET-1
764391439,Lamp5-MET-1
764726542,Pvalb-MET-4
764872932,Pvalb-MET-4
764879591,Vip-MET-1
764896381,Lamp5-MET-1
764897253,Lamp5-MET-1
764901187,Lamp5-MET-1
764902677,Lamp5-MET-1
764902707,Lamp5-MET-1
766097293,Pvalb-MET-3
768763533,Sst-MET-12
770216620,Sst-MET-8
770238836,Sst-MET-5
778327002,Vip-MET-1
779708399,Sst-MET-12
786135798,Sst-MET-1
786176775,Sst-MET-1
786228558,Pvalb-MET-4
788296224,Sst-MET-3
795530674,Sst-MET-13
795563325,Sst-MET-2
795572082,Sst-MET-12
795844214,Sst-MET-13
796666943,Vip-MET-1
797664123,Vip-MET-1
797722932,Vip-MET-5
799776604,Sncg-MET-2
803605276,Sst-MET-12
804968066,Sst-MET-8
804977071,Vip-MET-2
805584825,Sst-MET-4
808285808,Sst-MET-12
808475329,Pvalb-MET-4
808537562,Sst-MET-4
808824183,Sst-MET-9
808875776,Sst-MET-7
808882292,Sst-MET-13
809006343,Pvalb-MET-4
809113087,Sst-MET-5
809338969,Sst-MET-3
809649556,Pvalb-MET-4
809688289,Vip-MET-5
810317285,Sst-MET-9
812996960,Sst-MET-11
813500978,Vip-MET-1
816012073,Sst-MET-12
816434177,Sst-MET-1
817935092,Pvalb-MET-3
818792182,Pvalb-MET-4
820754704,Sst-MET-2
820897104,Pvalb-MET-3
